plotid,sampleid,sample_internal_id,lon,lat,email,flagged,collection_time,analysis_duration,imagery_title,imagery_attributions,sample_geom,confidence,confidence_comment,pl_source,Classification,Commentaire,gfc_gain,gfc_lossyear,gfc_treecover2000,tmf_ac_Dec2000,tmf_ac_Dec2021,tmf_ac_Dec2008,Classification_MAJ,Classification 2010,fcc_obs,year_start,year_end
1,1,761454626,165.3224476222491,-21.36347699433816,stagiaire@oeil.nc,FALSE,27/08/2024 05:30:00,324.6 secs,Pléiade_2021_TC,NA,POINT(165.3224476222491 -21.363476994338157),NA,NA,NA,Stable,NA,0,0,90,1,1,1,Forêt,NA,StableF,2008,2021
1,1,761454626,165.3224476222491,-21.36347699433816,adrien.bertaud@oeil.nc,FALSE,27/08/2024 21:40:00,1004.6 secs,Pléiade_2021_TC,NA,POINT(165.3224476222491 -21.363476994338157),NA,NA,NA,Stable,NA,0,0,90,1,1,1,Forêt,NA,StableF,2008,2021
1,1,761454626,165.3224476222491,-21.36347699433816,oriane.bruyere@oeil.nc,FALSE,27/08/2024 22:09:00,115.4 secs,Pléiade_2021_TC,NA,POINT(165.3224476222491 -21.363476994338157),NA,NA,NA,Stable,NA,0,0,90,1,1,1,Forêt,NA,StableF,2008,2021
1,2,761454627,165.3224476222491,-21.3632075,stagiaire@oeil.nc,FALSE,27/08/2024 05:30:00,324.6 secs,Pléiade_2021_TC,NA,POINT(165.3224476222491 -21.3632075),NA,NA,NA,Stable,NA,0,12,90,1,1,1,Forêt,NA,StableF,2008,2021
1,2,761454627,165.3224476222491,-21.3632075,adrien.bertaud@oeil.nc,FALSE,27/08/2024 21:40:00,1004.6 secs,Pléiade_2021_TC,NA,POINT(165.3224476222491 -21.3632075),NA,NA,NA,Stable,NA,0,12,90,1,1,1,Forêt,NA,StableF,2008,2021
1,2,761454627,165.3224476222491,-21.3632075,oriane.bruyere@oeil.nc,FALSE,27/08/2024 22:09:00,115.4 secs,Pléiade_2021_TC,NA,POINT(165.3224476222491 -21.3632075),NA,NA,NA,Stable,NA,0,12,90,1,1,1,Forêt,NA,StableF,2008,2021
1,3,761454628,165.3224476222491,-21.36293800516601,stagiaire@oeil.nc,FALSE,27/08/2024 05:30:00,324.6 secs,Pléiade_2021_TC,NA,POINT(165.3224476222491 -21.362938005166015),NA,NA,NA,Stable,NA,0,0,90,1,1,1,Non interprétable,NA,NotInt,2008,2021
1,3,761454628,165.3224476222491,-21.36293800516601,adrien.bertaud@oeil.nc,FALSE,27/08/2024 21:40:00,1004.6 secs,Pléiade_2021_TC,NA,POINT(165.3224476222491 -21.362938005166015),NA,NA,NA,Stable,NA,0,0,90,1,1,1,Non interprétable,NA,NotInt,2008,2021
1,3,761454628,165.3224476222491,-21.36293800516601,oriane.bruyere@oeil.nc,FALSE,27/08/2024 22:09:00,115.4 secs,Pléiade_2021_TC,NA,POINT(165.3224476222491 -21.362938005166015),NA,NA,NA,Stable,NA,0,0,90,1,1,1,Non interprétable,NA,NotInt,2008,2021
1,4,761454629,165.322737,-21.36347699433816,stagiaire@oeil.nc,FALSE,27/08/2024 05:30:00,324.6 secs,Pléiade_2021_TC,NA,POINT(165.322737 -21.363476994338157),NA,NA,NA,Stable,NA,0,0,90,1,1,1,Forêt,NA,StableF,2008,2021
