plotid,sampleid,sample_internal_id,lon,lat,email,flagged,collection_time,analysis_duration,imagery_title,imagery_attributions,imagery_used,sample_geom,confidence,confidence_comment,pl_source,fcc2008,Commentaire,fcc2000,gfc_ gain,gfc_ lossyear,gfc_ treecover2000,tmf_ac_ Dec2000,tmf_ac_ Dec2021,tmf_ac_ Dec2008,fcc2021,fcc_p1,fcc_p2
1,1,750583100,165.97902309312892,-21.629245494334754,stagiaire@oeil.nc,FALSE,2024-04-18T04:19:00Z,-527.0 secs,Othophoto_2010,NA,NA,POINT(165.97902309312892 -21.629245494334754),NA,NA,NA,Non Forêt,Commentaire,Non interprétable,0,0,63,1,1,1,NA,NA,NA
1,1,750583100,165.97902309312892,-21.629245494334754,stagiaire@oeil.nc,FALSE,2024-04-18T04:19:00Z,-527.0 secs,Othophoto_2010,NA,NA,POINT(165.97902309312892 -21.629245494334754),NA,NA,NA,Non Forêt,Commentaire,Non interprétable,0,0,63,1,1,1,NA,NA,NA
1,1,750583100,165.97902309312892,-21.629245494334754,stagiaire@oeil.nc,FALSE,2024-04-18T04:19:00Z,-527.0 secs,Othophoto_2010,NA,NA,POINT(165.97902309312892 -21.629245494334754),NA,NA,NA,Non Forêt,Commentaire,Non interprétable,0,0,63,1,1,1,NA,NA,NA
1,2,750583101,165.97902309312892,-21.62897599999999,stagiaire@oeil.nc,FALSE,2024-04-18T04:19:00Z,-527.0 secs,Othophoto_2010,NA,NA,POINT(165.97902309312892 -21.628975999999994),NA,NA,NA,Non Forêt,Commentaire,Non interprétable,0,0,79,1,1,1,NA,NA,NA
1,2,750583101,165.97902309312892,-21.62897599999999,stagiaire@oeil.nc,FALSE,2024-04-18T04:19:00Z,-527.0 secs,Othophoto_2010,NA,NA,POINT(165.97902309312892 -21.628975999999994),NA,NA,NA,Non Forêt,Commentaire,Non interprétable,0,0,79,1,1,1,NA,NA,NA
1,2,750583101,165.97902309312892,-21.62897599999999,stagiaire@oeil.nc,FALSE,2024-04-18T04:19:00Z,-527.0 secs,Othophoto_2010,NA,NA,POINT(165.97902309312892 -21.628975999999994),NA,NA,NA,Non Forêt,Commentaire,Non interprétable,0,0,79,1,1,1,NA,NA,NA
1,3,750583102,165.97902309312892,-21.628706505162583,stagiaire@oeil.nc,FALSE,2024-04-18T04:19:00Z,-527.0 secs,Othophoto_2010,NA,NA,POINT(165.97902309312892 -21.628706505162583),NA,NA,NA,Non Forêt,Commentaire,Non interprétable,0,0,82,1,1,1,NA,NA,NA
1,3,750583102,165.97902309312892,-21.628706505162583,stagiaire@oeil.nc,FALSE,2024-04-18T04:19:00Z,-527.0 secs,Othophoto_2010,NA,NA,POINT(165.97902309312892 -21.628706505162583),NA,NA,NA,Non Forêt,Commentaire,Non interprétable,0,0,82,1,1,1,NA,NA,NA
1,3,750583102,165.97902309312892,-21.628706505162583,stagiaire@oeil.nc,FALSE,2024-04-18T04:19:00Z,-527.0 secs,Othophoto_2010,NA,NA,POINT(165.97902309312892 -21.628706505162583),NA,NA,NA,Non Forêt,Commentaire,Non interprétable,0,0,82,1,1,1,NA,NA,NA
1,4,750583103,165.979313,-21.629245494334754,stagiaire@oeil.nc,FALSE,2024-04-18T04:19:00Z,-527.0 secs,Othophoto_2010,NA,NA,POINT(165.979313 -21.629245494334754),NA,NA,NA,Non Forêt,Commentaire,Non interprétable,0,0,65,1,1,1,NA,NA,NA
1,4,750583103,165.979313,-21.629245494334754,stagiaire@oeil.nc,FALSE,2024-04-18T04:19:00Z,-527.0 secs,Othophoto_2010,NA,NA,POINT(165.979313 -21.629245494334754),NA,NA,NA,Non Forêt,Commentaire,Non interprétable,0,0,65,1,1,1,NA,NA,NA
1,4,750583103,165.979313,-21.629245494334754,stagiaire@oeil.nc,FALSE,2024-04-18T04:19:00Z,-527.0 secs,Othophoto_2010,NA,NA,POINT(165.979313 -21.629245494334754),NA,NA,NA,Non Forêt,Commentaire,Non interprétable,0,0,65,1,1,1,NA,NA,NA
1,5,750583104,165.979313,-21.62897599999999,stagiaire@oeil.nc,FALSE,2024-04-18T04:19:00Z,-527.0 secs,Othophoto_2010,NA,NA,POINT(165.979313 -21.628975999999994),NA,NA,NA,Non Forêt,Commentaire,Non interprétable,0,0,81,1,1,1,NA,NA,NA
