plotid,sampleid,sample_internal_id,lon,lat,email,flagged,collection_time,analysis_duration,imagery_title,imagery_attributions,imagery_used,sample_geom,confidence,confidence_comment,pl_source,Classification,Commentaire
54,849,744203821,165.89427874900176,-21.79992549433257,stagiaire@oeil.nc,false,2024-04-03 02:53,-389.3 secs,Orthophotos_2000,,,POINT(165.89427874900176 -21.79992549433257),,,,Non Forêt,Commentaire
54,850,744203822,165.89427874900176,-21.799656,stagiaire@oeil.nc,false,2024-04-03 02:53,-389.3 secs,Orthophotos_2000,,,POINT(165.89427874900176 -21.799656),,,,Non Forêt,Commentaire
54,851,744203823,165.89427874900176,-21.799386505160413,stagiaire@oeil.nc,false,2024-04-03 02:53,-389.3 secs,Orthophotos_2000,,,POINT(165.89427874900176 -21.799386505160413),,,,Non Forêt,Commentaire
54,852,744203824,165.894569,-21.79992549433257,stagiaire@oeil.nc,false,2024-04-03 02:53,-389.3 secs,Orthophotos_2000,,,POINT(165.894569 -21.79992549433257),,,,Non Forêt,Commentaire
54,853,744203825,165.894569,-21.799656,stagiaire@oeil.nc,false,2024-04-03 02:53,-389.3 secs,Orthophotos_2000,,,POINT(165.894569 -21.799656),,,,Non Forêt,Commentaire
54,854,744203826,165.894569,-21.799386505160413,stagiaire@oeil.nc,false,2024-04-03 02:53,-389.3 secs,Orthophotos_2000,,,POINT(165.894569 -21.799386505160413),,,,Non Forêt,Commentaire
54,855,744203827,165.89485925099825,-21.79992549433257,stagiaire@oeil.nc,false,2024-04-03 02:53,-389.3 secs,Orthophotos_2000,,,POINT(165.89485925099825 -21.79992549433257),,,,Non Forêt,Commentaire
54,856,744203828,165.89485925099825,-21.799656,stagiaire@oeil.nc,false,2024-04-03 02:53,-389.3 secs,Orthophotos_2000,,,POINT(165.89485925099825 -21.799656),,,,Non Forêt,Commentaire
54,857,744203829,165.89485925099825,-21.799386505160413,stagiaire@oeil.nc,false,2024-04-03 02:53,-389.3 secs,Orthophotos_2000,,,POINT(165.89485925099825 -21.799386505160413),,,,Non Forêt,Commentaire
54,849,744203821,165.89427874900176,-21.79992549433257,adrien.bertaud@oeil.nc,false,2024-04-16 06:18,164.7 secs,Orthophotos_2000,,,POINT(165.89427874900176 -21.79992549433257),,,,Non Forêt,Commentaire
54,850,744203822,165.89427874900176,-21.799656,adrien.bertaud@oeil.nc,false,2024-04-16 06:18,164.7 secs,Orthophotos_2000,,,POINT(165.89427874900176 -21.799656),,,,Non Forêt,Commentaire
54,851,744203823,165.89427874900176,-21.799386505160413,adrien.bertaud@oeil.nc,false,2024-04-16 06:18,164.7 secs,Orthophotos_2000,,,POINT(165.89427874900176 -21.799386505160413),,,,Non Forêt,Commentaire
54,852,744203824,165.894569,-21.79992549433257,adrien.bertaud@oeil.nc,false,2024-04-16 06:18,164.7 secs,Orthophotos_2000,,,POINT(165.894569 -21.79992549433257),,,,Non Forêt,Commentaire
54,853,744203825,165.894569,-21.799656,adrien.bertaud@oeil.nc,false,2024-04-16 06:18,164.7 secs,Orthophotos_2000,,,POINT(165.894569 -21.799656),,,,Non Forêt,Commentaire
54,854,744203826,165.894569,-21.799386505160413,adrien.bertaud@oeil.nc,false,2024-04-16 06:18,164.7 secs,Orthophotos_2000,,,POINT(165.894569 -21.799386505160413),,,,Non Forêt,Commentaire
54,855,744203827,165.89485925099825,-21.79992549433257,adrien.bertaud@oeil.nc,false,2024-04-16 06:18,164.7 secs,Orthophotos_2000,,,POINT(165.89485925099825 -21.79992549433257),,,,Non Forêt,Commentaire
54,856,744203828,165.89485925099825,-21.799656,adrien.bertaud@oeil.nc,false,2024-04-16 06:18,164.7 secs,Orthophotos_2000,,,POINT(165.89485925099825 -21.799656),,,,Non Forêt,Commentaire
54,857,744203829,165.89485925099825,-21.799386505160413,adrien.bertaud@oeil.nc,false,2024-04-16 06:18,164.7 secs,Orthophotos_2000,,,POINT(165.89485925099825 -21.799386505160413),,,,Non Forêt,Commentaire
55,865,744203830,165.84175974569695,-21.801556494332573,stagiaire@oeil.nc,false,2024-04-03 02:53,-612.0 secs,Orthophotos_2000,,,POINT(165.84175974569695 -21.801556494332573),,,,Non Forêt,Commentaire
55,866,744203831,165.84175974569695,-21.801287000000002,stagiaire@oeil.nc,false,2024-04-03 02:53,-612.0 secs,Orthophotos_2000,,,POINT(165.84175974569695 -21.801287000000002),,,,Non Forêt,Commentaire
55,867,744203832,165.84175974569695,-21.801017505160402,stagiaire@oeil.nc,false,2024-04-03 02:53,-612.0 secs,Orthophotos_2000,,,POINT(165.84175974569695 -21.801017505160402),,,,Non Forêt,Commentaire
55,868,744203833,165.84205,-21.801556494332573,stagiaire@oeil.nc,false,2024-04-03 02:53,-612.0 secs,Orthophotos_2000,,,POINT(165.84205 -21.801556494332573),,,,Non Forêt,Commentaire
