plotid,sampleid,sample_internal_id,lon,lat,email,flagged,collection_time,analysis_duration,imagery_title,imagery_attributions,imagery_used,sample_geom,confidence,confidence_comment,pl_source,Classification,Commentaire
827,13217,744196171,166.70460367598224,-22.321627994325866,stagiaire@oeil.nc,false,2024-04-10 00:34,-615.6 secs,Pléiade_2021_TC,,,POINT(166.70460367598224 -22.321627994325866),,,,Non Forêt,Commentaire
827,13218,744196172,166.70460367598224,-22.321358500000002,stagiaire@oeil.nc,false,2024-04-10 00:34,-615.6 secs,Pléiade_2021_TC,,,POINT(166.70460367598224 -22.321358500000002),,,,Non Forêt,Commentaire
827,13219,744196173,166.70460367598224,-22.32108900515371,stagiaire@oeil.nc,false,2024-04-10 00:34,-615.6 secs,Pléiade_2021_TC,,,POINT(166.70460367598224 -22.32108900515371),,,,Non Forêt,Commentaire
827,13220,744196174,166.704895,-22.321627994325866,stagiaire@oeil.nc,false,2024-04-10 00:34,-615.6 secs,Pléiade_2021_TC,,,POINT(166.704895 -22.321627994325866),,,,Non Forêt,Commentaire
827,13221,744196175,166.704895,-22.321358500000002,stagiaire@oeil.nc,false,2024-04-10 00:34,-615.6 secs,Pléiade_2021_TC,,,POINT(166.704895 -22.321358500000002),,,,Non Forêt,Commentaire
827,13222,744196176,166.704895,-22.32108900515371,stagiaire@oeil.nc,false,2024-04-10 00:34,-615.6 secs,Pléiade_2021_TC,,,POINT(166.704895 -22.32108900515371),,,,Non Forêt,Commentaire
827,13223,744196177,166.70518632401775,-22.321627994325866,stagiaire@oeil.nc,false,2024-04-10 00:34,-615.6 secs,Pléiade_2021_TC,,,POINT(166.70518632401775 -22.321627994325866),,,,Non Forêt,Commentaire
827,13224,744196178,166.70518632401775,-22.321358500000002,stagiaire@oeil.nc,false,2024-04-10 00:34,-615.6 secs,Pléiade_2021_TC,,,POINT(166.70518632401775 -22.321358500000002),,,,Non Forêt,Commentaire
827,13225,744196179,166.70518632401775,-22.32108900515371,stagiaire@oeil.nc,false,2024-04-10 00:34,-615.6 secs,Pléiade_2021_TC,,,POINT(166.70518632401775 -22.32108900515371),,,,Non Forêt,Commentaire
827,13217,744196171,166.70460367598224,-22.321627994325866,adrien.bertaud@oeil.nc,false,2024-04-24 01:02,174.5 secs,Pléiade_2021_TC,,,POINT(166.70460367598224 -22.321627994325866),,,,Non Forêt,Commentaire
827,13218,744196172,166.70460367598224,-22.321358500000002,adrien.bertaud@oeil.nc,false,2024-04-24 01:02,174.5 secs,Pléiade_2021_TC,,,POINT(166.70460367598224 -22.321358500000002),,,,Non Forêt,Commentaire
827,13219,744196173,166.70460367598224,-22.32108900515371,adrien.bertaud@oeil.nc,false,2024-04-24 01:02,174.5 secs,Pléiade_2021_TC,,,POINT(166.70460367598224 -22.32108900515371),,,,Non Forêt,Commentaire
827,13220,744196174,166.704895,-22.321627994325866,adrien.bertaud@oeil.nc,false,2024-04-24 01:02,174.5 secs,Pléiade_2021_TC,,,POINT(166.704895 -22.321627994325866),,,,Non Forêt,Commentaire
827,13221,744196175,166.704895,-22.321358500000002,adrien.bertaud@oeil.nc,false,2024-04-24 01:02,174.5 secs,Pléiade_2021_TC,,,POINT(166.704895 -22.321358500000002),,,,Non Forêt,Commentaire
827,13222,744196176,166.704895,-22.32108900515371,adrien.bertaud@oeil.nc,false,2024-04-24 01:02,174.5 secs,Pléiade_2021_TC,,,POINT(166.704895 -22.32108900515371),,,,Non Forêt,Commentaire
